Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Upstream tier 1 (ISIC Division/Group/Class),ISIC level used for upstream tier 1 link,Upstream tier 2 (ISIC Division/Group/Class),ISIC level used for upstream tier 2 link
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Post-harvest crop activities,ISIC Class,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Post-harvest crop activities,ISIC Class,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Post-harvest crop activities,ISIC Class,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Post-harvest crop activities,ISIC Class,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Post-harvest crop activities,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Post-harvest crop activities,ISIC Class,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Post-harvest crop activities,ISIC Class,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Post-harvest crop activities,ISIC Class,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Real estate activities,ISIC Division,Civil engineering,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Real estate activities,ISIC Division,Construction of buildings,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Real estate activities,ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Real estate activities,ISIC Division,Real estate activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Real estate activities,ISIC Division,Specialized construction activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Real estate activities,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Repair of computers and personal and household goods,ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Repair of computers and personal and household goods,ISIC Division,Land transport and transport via pipelines,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Repair of computers and personal and household goods,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Repair of computers and personal and household goods,ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Repair of computers and personal and household goods,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division,Land transport and transport via pipelines,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Seed processing for propagation,ISIC Class,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Seed processing for propagation,ISIC Class,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Seed processing for propagation,ISIC Class,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Seed processing for propagation,ISIC Class,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Seed processing for propagation,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Seed processing for propagation,ISIC Class,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Seed processing for propagation,ISIC Class,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Seed processing for propagation,ISIC Class,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Land transport and transport via pipelines,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Warehousing and support activities for transportation,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Growing of perennial crops,ISIC Group,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Growing of perennial crops,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Growing of perennial crops,ISIC Group,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Growing of perennial crops,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Growing of perennial crops,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Growing of perennial crops,ISIC Group,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Growing of perennial crops,ISIC Group,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Growing of perennial crops,ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Growing of perennial crops,ISIC Group,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Growing of perennial crops,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Post-harvest crop activities,ISIC Class,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Post-harvest crop activities,ISIC Class,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Post-harvest crop activities,ISIC Class,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Post-harvest crop activities,ISIC Class,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Post-harvest crop activities,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Post-harvest crop activities,ISIC Class,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Post-harvest crop activities,ISIC Class,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Post-harvest crop activities,ISIC Class,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Real estate activities,ISIC Division,Civil engineering,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Real estate activities,ISIC Division,Construction of buildings,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Real estate activities,ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Real estate activities,ISIC Division,Real estate activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Real estate activities,ISIC Division,Specialized construction activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Real estate activities,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Repair of computers and personal and household goods,ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Land transport and transport via pipelines,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Repair of computers and personal and household goods,ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Repair of computers and personal and household goods,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division,Land transport and transport via pipelines,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Retail trade, except of motor vehicles and motorcycles",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Seed processing for propagation,ISIC Class,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Seed processing for propagation,ISIC Class,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Seed processing for propagation,ISIC Class,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Seed processing for propagation,ISIC Class,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Seed processing for propagation,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Seed processing for propagation,ISIC Class,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Seed processing for propagation,ISIC Class,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Seed processing for propagation,ISIC Class,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Land transport and transport via pipelines,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Warehousing and support activities for transportation,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Growing of perennial crops,ISIC Group,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Growing of perennial crops,ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Growing of perennial crops,ISIC Group,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Growing of perennial crops,ISIC Group,"Growing of vegetables and melons, roots and tubers",ISIC Class
